"sku","name","category","subcategory","price","currency","stock_quantity","materials","colors","dimensions_length","dimensions_width","dimensions_height","dimensions_unit","packaging_dimensions","min_doorway_clearance","assembly_required","weight_capacity","customization_options","bulk_discount_threshold","description","care_instructions","warranty_info","return_policy","shipping_info","permalink","image_urls"
"01-4706","Work Station Frame 2400*1200 Dark Gray","Table","Office Desk",14300.0,"BDT",5,"","Grey",94.5,47.2,"","inches","96 x 49 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","Size: Color: Material: Type:","","","","","https://leadingedge.com.bd/product/work-station-frame-2400-1200-dark-gray/",""
"01-4706-W","Office Aluminium Workstation Frames, 2400X1200 mm, Dark Gray","Aluminium Profile","Aluminium Profile",0.0,"BDT",5,"Aluminium, Engineered Wood, Fabric, Glass, Mild Steel","Clear, Grey","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Work smart and get things accomplished by adding office desks and workstations to your office or business workspace. Workstations &amp; Office Cubicle Systems create a positive work environment for offices everywhere by making it easy to collaborate with co-workers. Set the tone of your work environment with contemporary office workstations from Best Company. We can customize and configure any office furniture to suit your needs – and at affordable prices. Our modern office workstation desks offer practicality without sacrificing visual appeal and you will find our office workstation furniture to be both functional and affordable. We can make fabric partition, board portion, MS Leg workstation with glass, aluminum partition and many type. We have many type design of workstations and cubicle. It will be customization. It will be design with your office space and theme. Our large factory ready for your desire one. &nbsp; Complete types, good safety, special style, modelling proportion of moderate, space structure clear and beautiful, concise and easy, fashion, simple and convenient installation, whether residential or commercial, it become an critical choice.","","","","","https://leadingedge.com.bd/product/work-station-frame-24001200-dark-gray/","https://leadingedge.com.bd/wp-content/uploads/2021/04/h_prodotti-156818-relc6c78800df0541b185fdf57d26c4eff0-Copy.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/HTB1VFn0nfDH8KJjy1Xcq6ApdXXac-1.jpg"
"01-4707","Table Leg 550 Graphite","Hardware","Table Leg",1760.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Size: Color:","","","","","https://leadingedge.com.bd/product/table-leg-550-graphite/",""
"01-4708","Table Leg, 550 mm, Grey","Hardware","Table Leg",2860.0,"BDT",5,"Metal","Grey, Material: Type","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Table Leg, 550 mm, Grey 01-4708 Exclusive Single Table Leg: Embrace the perfect blend of style and utility with our exceptional Single Leg. Crafted with meticulous attention to detail, this exquisite piece of furniture is designed to elevate any space, whether it be your home, office, or commercial establishment. Uncompromising Durability: Constructed from premium-grade metal, our Single Leg is built to withstand the test of time. The sturdy single leg design ensures unparalleled stability, providing a reliable foundation for all your activities. Whether you're working, dining, or engaging in creative endeavors, this table will remain steady and reliable, enhancing your overall experience. Sleek and Modern Design: Boasting a sleek and modern aesthetic, our Single Leg Metal effortlessly complements a wide range of interior styles. The minimalist yet sophisticated design exudes a sense of timeless elegance, making it a captivating focal point in any room. The clean lines and smooth surface add a touch of refinement, making this table a statement piece that enhances the overall ambiance of your space.","","","","","https://leadingedge.com.bd/product/table-leg-550-mm-grey-01-4708/",""
"01-4709","Table Frame with Perforated Fornt 1400*600 Black","Table","Table Frame",17600.0,"BDT",5,"","Black, Silver",55.1,23.6,"","inches","57 x 26 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Item Name: Color: Material:","","","","","https://leadingedge.com.bd/product/table-frame-with-perforated-fornt-1400-600-black/",""
"01-4709-2","Table Frame with Side Table, 2700 X 800 mm, Silver 01-4709","Table","Table Frame",0.0,"BDT",5,"","Silver","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home","","","","","https://leadingedge.com.bd/product/table-frame-with-side-table-2700-x-800-mm-silver-01-4709/","https://leadingedge.com.bd/wp-content/uploads/2021/06/glass-executive-office-desk-mdsmt2018p74-82900-online-regarding-large-glass-desk-decorating-585x328-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Director-General-Manager-Table.jpg"
"01-4710","Table Frame TB2G 700*350*700H SS-Brushed","Table","Table Frame",9350.0,"BDT",5,"Stainless Steel","Material",27.6,13.8,"","inches","30 x 16 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Frame TB2G 700*350*700H SS-Brushed 01-4710","","","","","https://leadingedge.com.bd/product/table-frame-tb2g-700350700h-ss-brushed-01-4710/","https://leadingedge.com.bd/wp-content/uploads/2023/06/00-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2023/06/03.jpg, https://leadingedge.com.bd/wp-content/uploads/2023/06/04.jpg"
"01-4710-2","Table Frame TB03/500*20*700H SS-Brushed 01-4710","Table","Table Frame",0.0,"BDT",5,"Stainless Steel","",19.7,0.8,"","inches","22 x 3 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Frame TB03/500*20*700H SS-Brushed 01-4710","","","","","https://leadingedge.com.bd/product/table-frame-tb03-50020700h-ss-brushed-01-4710/","https://leadingedge.com.bd/wp-content/uploads/2023/06/01-4710-scaled.jpg"
"01-4712","Table Leg Without Bar Black+Silver","Hardware","Table Leg",5000.0,"BDT",5,"","Black, Silver","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Item Name:","","","","","https://leadingedge.com.bd/product/table-leg-without-bar-black-silver/",""
"01-4713","Table Frame 1600*700 White","Table","Table Frame",11000.0,"BDT",5,"","White",63.0,27.6,"","inches","65 x 30 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: ITtyepme:","","","","","https://leadingedge.com.bd/product/table-frame-1600-700-white/",""
"01-4714","Table Frame 1600*600 Black","Table","Table Frame",20900.0,"BDT",5,"","Black",63.0,23.6,"","inches","65 x 26 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Item Name:","","","","","https://leadingedge.com.bd/product/table-frame-1600-600-black/",""
"01-4715","Single Leg Black","Hardware","Furniture Hardware",2700.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","ICtoelmor:","","","","","https://leadingedge.com.bd/product/single-leg-black/",""
"01-4716","Round Post Leg 60*725 Black","Hardware","Furniture Hardware",1320.0,"BDT",5,"Stainless Steel","Black, Material: Type",2.4,2.4,28.5,"inches","5 x 5 x 32 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Item Name: Color: Material:","","","","","https://leadingedge.com.bd/product/round-post-leg-60-725-black/",""
"01-4717","Single Leg Black","Hardware","Furniture Hardware",1350.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/single-leg-black/",""
"01-4718","Single Leg Black","Hardware","Furniture Hardware",2100.0,"BDT",5,"","Material, White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","Size: Color: Material:","","","","","https://leadingedge.com.bd/product/single-leg-black/",""
"01-4719","Table Frame 1750*750 Gun Black","Table","Table Frame",59550.0,"BDT",5,"","Black",68.9,29.5,"","inches","71 x 32 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Impoted Single leg 27500/- Per Pcs","","","","","https://leadingedge.com.bd/product/table-frame-1750-750-gun-black/",""
"01-4720","Table Frame 1350*750 Dark Gray","Table","Table Frame",19200.0,"BDT",5,"","Grey",53.1,29.5,"","inches","55 x 32 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Impoted Single leg 4000/- Per Pcs","","","","","https://leadingedge.com.bd/product/table-frame-1350-750-dark-gray/",""
"01-4721","Table Frame 1350*750 Brown","Table","Table Frame",14300.0,"BDT",5,"","Brown",53.1,29.5,"","inches","55 x 32 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Impoted Single leg 5400/- Per Pcs","","","","","https://leadingedge.com.bd/product/table-frame-1350-750-brown/",""
"01-4722","Meeting Table Frame 1200*1600 Black+Brown","Table","Table Frame",54000.0,"BDT",5,"","Black, Brown",47.2,63.0,"","inches","49 x 65 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Impoted Single leg 27000/- Per Pcs","","","","","https://leadingedge.com.bd/product/meeting-table-frame-1200-1600-black-brown/",""
"01-4723","Table Frame 1150*550mm Black","Table","Table Frame",15000.0,"BDT",5,"","Black","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","","","","","","https://leadingedge.com.bd/product/table-frame-1150-550mm-black/",""
"01-4724","Table Leg Single White","Hardware","Table Leg",1300.0,"BDT",5,"","White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","","","","","","https://leadingedge.com.bd/product/table-leg-single-white/",""
"01-4725","Single Table Leg Folding","Hardware","Table Leg",300.0,"BDT",5,"Engineered Wood, Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","80 kg (per unit)","","","High-Utility Space Optimization The Single Leg Folding 300mm Black is an industrial-grade hardware solution engineered for compact environments where maximizing floor space is essential. Precision-crafted from high-tensile structural steel and finished in a resilient matte black powder coating, this support leg is built to deliver exceptional rigidity while resisting scratches, chipping, and daily operational wear. Heavy-Duty Locking Hinge Mechanism At the core of this hardware component is a premium, spring-loaded folding mechanism. When deployed, the integrated bracket snaps firmly and automatically into a locked position, providing a rock-solid, wobble-free structural foundation capable of supporting heavy loads. When the surface is no longer needed, the intuitive release mechanism allows the leg to fold down perfectly flat against the underside of the panel, creating a clean, flush profile. Seamless Architectural Integration Designed with a wide, pre-drilled integrated mounting bracket, this folding leg ensures optimal screw distribution and weight transfer directly onto the tabletop or wall structure. It serves as an outstanding structural component for custom carpentry projects, including drop-leaf breakfast bars, collapsible study desks, compact RV countertops, and fold-away garage workbenches.","","","","","https://leadingedge.com.bd/product/single-table-leg-folding-01-4725/",""
"01-4771","Table Frame 900*900 Black+CP","Table","Table Frame",23650.0,"BDT",5,"","Black",35.4,35.4,"","inches","37 x 37 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","ICtoelmor:","","","","","https://leadingedge.com.bd/product/table-frame-900-900-black-cp/",""
"01-4771-M","Professional Mini Meeting Table Frame, 2000X800mm, Black+CP,","Table","Table Frame",0.0,"BDT",5,"","Black","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","One of the simplest changes you can make to improve your daily working life is to invest in ergonomic office workstations. A comfortable workstation can go a long way in working with your ergonomic office ensuring that your workstation is perfectly suited to you. This particular workstation fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! &nbsp;","","","","","https://leadingedge.com.bd/product/table-frame-2000800-blackcp-01-4771/","https://leadingedge.com.bd/wp-content/uploads/2021/04/Detail-Model.jpg"
"01-4771-R","Modern Office Round Table Frame, 900 X 900 mm, Black+CP 01-4771","Table","Table Frame",0.0,"BDT",5,"","Black","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Office Round Table Frame, 900 X 900 mm, Black+CP 01-4771 A Round Table Frame is an ideal storage place for Indoor, Home, Bars, Restaurants and Hotels. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. &nbsp; This Round Table Frame fits perfectly into any tight space in your office, home indoor, bars, restaurants and hotels which allows you to take full advantage of your abode home or office workspace. &nbsp; Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home. &nbsp; &nbsp; &nbsp;","","","","","https://leadingedge.com.bd/product/table-frame-900-x-900-mm-blackcp-01-4771/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Model.jpg"
"01-4772","Table Frame 2350*1150*725 Sand Grain White","Table","Table Frame",16500.0,"BDT",5,"","White",92.5,45.3,28.5,"inches","96 x 48 x 32 inches","28 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/table-frame-2350-1150-725-sand-grain-white/",""
"01-4773","Table Frame 1350*550 White","Table","Table Frame",15400.0,"BDT",5,"","Material, Silver, White",23.6,27.6,"","inches","26 x 30 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","This table frame, sized at 1350mm by 550mm, is designed in a crisp white finish, offering a versatile and stylish foundation for your table projects. Model number 01-4773.","","","","","https://leadingedge.com.bd/product/table-frame-1350550-white-01-4773/","https://leadingedge.com.bd/wp-content/uploads/2024/05/22-2.jpg"
"01-4773-R","Modern Designed Round Table Frame, W600 X H700 mm, Silver 01-4773","Table","Table Frame",0.0,"BDT",5,"","Silver","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Round Table Frame, W600 X H700 mm, Silver 01-4773 Exclusive Round Table Frame For Small Dining, Home, Office, Restaurent Leading Edge is offering a highly attractive range of Round Table Frame For Small Dining, Home, Office, Restaurent with high-quality raw materials and superior finishing. Its elegant looks &amp; reliable features are highly demanded by architects and interior designers for homes, office, Restaurants, and hotels.","","","","","https://leadingedge.com.bd/product/round-table-frame-w600-x-h700-mm-silver-01-4773/","https://leadingedge.com.bd/wp-content/uploads/2021/06/2-1-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/1-1-scaled.jpg"
"01-4773BEAM","Table Beam, 43""/65"" Silver/White 01-4773","Table","Table",0.0,"BDT",5,"","Silver, White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Beam, 43""/65"" Silver/White 01-4773","","","","","https://leadingedge.com.bd/product/table-beam-43-65-silver-white-01-4773/","https://leadingedge.com.bd/wp-content/uploads/2023/06/20-2.jpg"
"01-4773LEG","Work Station Frame 2350*1150 Silver 01- 4773","Table","Office Desk",0.0,"BDT",5,"","Silver",92.5,45.3,"","inches","94 x 47 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","This work station frame, measuring 2350mm by 1150mm, features a sleek silver finish, offering durability and style for your workspace needs. Model number 01-4773.","","","","","https://leadingedge.com.bd/product/work-station-middle-leg-550mm-1150mm-with-2-beams-silver-white-01-4773/","https://leadingedge.com.bd/wp-content/uploads/2023/06/21-2.jpg"
"01-4774","Table Frame 1580*800*725 Sand Grain Black","Table","Table Frame",23650.0,"BDT",5,"","Black",62.2,31.5,28.5,"inches","65 x 34 x 32 inches","28 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: Material:","","","","","https://leadingedge.com.bd/product/table-frame-1580-800-725-sand-grain-black/",""
"01-4774TC","Professional Table Base/Table Frame on Cabinate, 1780 X 780 X 725 mm, S. White 01-4774","Table","Table Frame",0.0,"BDT",5,"Aluminium, Engineered Wood, Fabric, Glass, Mild Steel","Clear, White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","One of the simplest changes you can make to improve your daily working life is to invest in ergonomic office workstations. A comfortable workstation can go a long way in working with your ergonomic office ensuring that your workstation is perfectly suited to you. This particular workstation fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace. Work smart and get things accomplished by adding office desks and workstations to your office or business workspace. Workstations &amp; Office Cubicle Systems create a positive work environment for offices everywhere by making it easy to collaborate with co-workers. Set the tone of your work environment with contemporary office workstations from Best Company. We can customize and configure any office furniture to suit your needs – and at affordable prices. Our modern office workstation desks offer practicality without sacrificing visual appeal and you will find our office workstation furniture to be both functional and affordable. We can make fabric partition, board portion, MS Leg workstation with glass, aluminum partition and many type. We have many type design of workstations and cubicle. It will be customization. It will be design with your office space and theme. Our large factory ready for your desire one. Complete types, good safety, special style, modelling proportion of moderate, space structure clear and beautiful, concise and easy, fashion, simple and convenient installation, whether residential or commercial, it become an critical choice.","","","","","https://leadingedge.com.bd/product/table-base-on-cabinet-1780-x-780-x-725-mm-s-white-01-4774/","https://leadingedge.com.bd/wp-content/uploads/2021/06/3-1-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/detail1-Model.jpg"
"01-4775","Table Frame 1150*550*725 Sand Grain Black","Table","Table Frame",23100.0,"BDT",5,"","Black",45.3,21.7,28.5,"inches","48 x 25 x 32 inches","21 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","IMteamterNiaal: Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/table-frame-1150-550-725-sand-grain-black/",""
"01-4776","Table Frame With Side Table Triangle 2380*980 White","Table","Table Frame",19250.0,"BDT",5,"","White",93.7,38.6,"","inches","96 x 41 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/table-frame-with-side-table-triangle-2380-980-white/",""
"01-4776A","Work Station Triangle 2350*1150 S. White","Furniture","Furniture Accessories",23000.0,"BDT",5,"","White",92.5,45.3,"","inches","94 x 47 x 2 inches","","No - Fully assembled.","","","","IFtienmishN: Size: Color: Material: Type:","","","","","https://leadingedge.com.bd/product/work-station-triangle-2350-1150-s-white/",""
"01-4776MS","Exclusive Office Table Frame With Side Table- Triangle, 2380 X 980mm, White 01-4776","Table","Table Frame",0.0,"BDT",5,"","White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home","","","","","https://leadingedge.com.bd/product/table-frame-with-side-table-triangle-2380x980mm-white/","https://leadingedge.com.bd/wp-content/uploads/2021/03/Triangle-Shape-3-Seater-.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/169.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/2-1.jpg"
"01-4777","Work Station Frame Triangle 2380*1180 White","Table","Office Desk",25300.0,"BDT",5,"","White",93.7,46.5,"","inches","96 x 48 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/work-station-frame-triangle-2380-1180-white/",""
"01-4777A","Work Station Frame Triangle 2350*1150*725 S. White","Table","Office Desk",24000.0,"BDT",5,"","White",92.5,45.3,28.5,"inches","96 x 48 x 32 inches","28 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","Size: Color: Material:","","","","","https://leadingedge.com.bd/product/work-station-frame-triangle-2350-1150-725-s-white/",""
"01-4778","Table Frame 1580*780 Sand Grain Black","Table","Table Frame",24200.0,"BDT",5,"","Black",62.2,30.7,"","inches","64 x 33 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: IMteamterNiaal:","","","","","https://leadingedge.com.bd/product/table-frame-1580-780-sand-grain-black/",""
"01-4778-4","Work Station Frame, Middle Socket, 2380 X 1180mm Sand Grain Black, Sand Grain White 01-4778","Hardware","Furniture Hardware",0.0,"BDT",5,"","Black, White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","One of the simplest changes you can make to improve your daily working life is to invest in ergonomic office workstations. A comfortable workstation can go a long way in working with your ergonomic office ensuring that your workstation is perfectly suited to you. This particular workstation fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace!","","","","","https://leadingedge.com.bd/product/work-station-frame-middle-socket-2380-x-1180mm-sand-grain-black-sand-grain-white-01-4778/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Meeting-Table-4778.jpg"
"01-4778A","Table Frame 1780*780*725 Sand Grain Black","Table","Table Frame",14850.0,"BDT",5,"","Black",70.1,30.7,28.5,"inches","73 x 34 x 32 inches","28 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: Material:","","","","","https://leadingedge.com.bd/product/table-frame-1780-780-725-sand-grain-black/",""
"01-4778M","Standard Managerial Table Base Table Frame, 1780X780X725mm, Metal 01-4778","Table","Table Frame",0.0,"BDT",5,"Metal","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home.","","","","","https://leadingedge.com.bd/product/managerial-table-base-1780x780x725mm-sand-grain-black/","https://leadingedge.com.bd/wp-content/uploads/2021/03/Managerial-Desk-4778.jpg"
"01-4778R","Discussion Table Base, Φ1000 X 725 mm 01-4778","Table","Table",0.0,"BDT",5,"","White",39.4,39.4,"","inches","41 x 41 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Discussion Table Base, Φ1000 X 725 mm, Sand Grain White 01-4778 Leading Edge is offering a highly attractive range of Discussion Table with high-quality raw materials and superior finishing. Its elegant looks &amp; reliable features are highly demanded by architects and interior designers for homes, office, Restaurants, and hotels.","","","","","https://leadingedge.com.bd/product/discussion-table-base-%cf%861000-x-725-mm-sand-grain-white-01-4778/","https://leadingedge.com.bd/wp-content/uploads/2021/06/109-1.jpg"
"01-4778SQ","Square Table Frame Table Base, 1180 X 1180 X 725 mm, S.White 01-4778","Table","Table Frame",0.0,"BDT",5,"","White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Base, 1180 X 1180 X 725 mm, S.White 01-4778 Exclusive Square Table Frame For Small Dining, Home, Office, Restaurant. Leading Edge is offering a highly attractive range of Square Table Frame For Small Dining, Home, Office, Restaurant with high-quality raw materials and superior finishing. Its elegant looks &amp; reliable features are highly demanded by architects and interior designers for homes, office, Restaurants, and hotels.","","","","","https://leadingedge.com.bd/product/table-base-1180-x-1180-x-725-mm-s-white-01-4778/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Discussion-table-Square-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Discussion-table-drawing-Square-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/110.jpg"
"01-4779","Table Frame 1580*780*725 Sand Grain White","Table","Table Frame",24200.0,"BDT",5,"","White",62.2,30.7,28.5,"inches","65 x 34 x 32 inches","28 inches","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: Material: IFtienmishN:","","","","","https://leadingedge.com.bd/product/table-frame-1580-780-725-sand-grain-white/",""
"01-4779-CD","Standard Office Table Base on Cabinate, 1780X780X725 mm, Sand Grain White 01-4779","Table","Table",0.0,"BDT",5,"","White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home","","","","","https://leadingedge.com.bd/product/table-base-on-cabinate-1780x780x725-mm-s-white/",""
"01-4780","Table Frame 980*980 White","Table","Table Frame",29700.0,"BDT",5,"","White",38.6,38.6,"","inches","41 x 41 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: Material: IFtienmishN:","","","","","https://leadingedge.com.bd/product/table-frame-980-980-white/",""
"01-4780-CD","Simple Design Standard Table Base on Cabinet, 1780X780X725 mm, S. Dark Grey 01-4780","Table","Table",0.0,"BDT",5,"","Grey","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home","","","","","https://leadingedge.com.bd/product/table-base-on-cabinet-1780x780x725-mm-s-dark-grey/","https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-2-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-4-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-2-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-1-2-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-3.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-6.jpg"
"01-4780-M","Standard Managerial/Executive Office Table Frame, L1580 X W780mm, 01-4780","Table","Table Frame",0.0,"BDT",5,"","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","A smart office table is an ideal storage place for monitor, printer, scanner, telephone, game console. It is an efficient use of space in a cubicle or cramped office, providing a large working surface in a small footprint. This executive table fits perfectly into any tight space in your office or home which allows you to take full advantage of your abode office workspace! Perfect for office staff, game players, designers and even students, offering you an efficient and inspiring working environment at office or at home","","","","","https://leadingedge.com.bd/product/managerial-or-executive-desk-frame/","https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/13.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/04/Table-Frame-1-1.jpg"
"01-4781","Table Base, 7582PS, 1500-2200 X 800 X 700 mm","Table","Table",0.0,"BDT",5,"","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Base, 7582PS, 1500-2200 X 800 X 700 mm 01-4781","","","","","https://leadingedge.com.bd/product/table-base-7582ps-1500-2200-x-800-x-700-mm-01-4781/","https://leadingedge.com.bd/wp-content/uploads/2021/08/Director-Table.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/08/Director-Table-1.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/08/Director-Table-2.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/08/Victory-Table-Base.jpg"
"01-4781-1","Table Base, 7582PS, 1800-2700 X 800 X 700 mm 01-4781","Table","Table",0.0,"BDT",5,"","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Table Base, 7582PS, 1800-2700 X 800 X 700 mm 01-4781","","","","","https://leadingedge.com.bd/product/table-base-7582ps-1800-2700-x-800-x-700-mm-01-4781/","https://leadingedge.com.bd/wp-content/uploads/2021/08/Victory-Table-Base-1.jpg"
